danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,mood
0.053345,0.000248,0.078674,0.000000,0.012458,0.019390,-0.017753,0.040704,0.061242,Energetic
0.020409,0.011293,0.039662,0.010093,0.014393,0.020700,-0.040340,0.034033,0.088256,Sad
0.046326,0.000299,0.063998,0.000211,0.037721,0.030132,-0.032787,0.028728,0.049518,Sad
0.052697,0.003028,0.081646,0.000000,0.071470,0.063278,-0.015572,0.038960,0.044315,Energetic
0.046326,0.000002,0.091213,0.002023,0.077426,0.076379,-0.013159,0.046768,0.057929,Energetic
0.045570,0.092146,0.024522,0.000000,0.032757,0.043365,-0.031384,0.024407,0.056538,Sad
0.079585,0.022587,0.075794,0.049536,0.154108,0.069829,-0.040962,0.031153,0.058463,Happy
0.039199,0.001219,0.084154,0.000000,0.042684,0.048605,-0.019615,0.046616,0.085782,Energetic
0.042222,0.099142,0.005350,0.103556,0.029035,0.047033,-0.113668,0.025923,0.068625,Calm
0.042222,0.099442,0.001124,0.103447,0.023799,0.015459,-0.109238,0.064580,0.032117,Calm
0.052481,0.075456,0.033067,0.094152,0.024469,0.014542,-0.060639,0.024104,0.055223,Sad
0.049997,0.036678,0.042913,0.000131,0.088345,0.024761,-0.035275,0.020617,0.061885,Sad
0.074834,0.089347,0.018113,0.003554,0.031268,0.041268,-0.067876,0.033806,0.055027,Sad
0.033799,0.006416,0.090377,0.000000,0.014418,0.015459,-0.017127,0.082620,0.050584,Energetic
0.071702,0.000152,0.079881,0.097760,0.048888,0.032622,-0.020015,0.026150,0.057509,Happy
0.041898,0.002109,0.074308,0.000000,0.052610,0.046771,-0.028123,0.059350,0.091807,Energetic
0.066195,0.000148,0.088519,0.000064,0.037721,0.070353,-0.015261,0.064808,0.049521,Happy
0.074942,0.001949,0.076537,0.004658,0.081149,0.026464,-0.028016,0.122035,0.057992,Energetic
0.075158,0.018589,0.080903,0.003084,0.042932,0.104809,-0.028798,0.027060,0.056070,Sad
